Home,Away,Home_Advantage
Houston,Arizona,0
Louisville,Duke,0
Tennessee,Auburn,0
Florida,Alabama,0
Michigan,Maryland,0
Wisconsin,Michigan St.,0
St. John's,Creighton,0
VCU,Loyola Chicago,0
Colorado St.,Boise St.,0
UC San Diego,UC Irvine,0
Liberty,Jacksonville St.,0
Tulane,Memphis,0
UAB,North Texas,0
Saint Joseph's,George Mason,0
Yale,Princeton,0
Utah Valley,Grand Canyon,0
Miami OH,Akron,0
Dartmouth,Cornell,0
Bryant,Maine,3
South Carolina St.,Norfolk St.,0
Mount St. Mary's,Iona,0
Jackson St.,Alabama St.,0
