home_team,away_team,mean_spread_away_minus_home,home_win_prob,spread_away_minus_home_bart,avg_result,team,Point
Eastern Michigan,Northern Illinois,-2.0195,0.454,-18.78644082868033,-10.402970414340166,Eastern Michigan,-8.5
Buffalo,Kent St.,-6.3035,0.5769,-2.4172725255206164,-4.360386262760308,Buffalo,2.5
Michigan St.,Indiana,1.3859000000000004,0.3584,-5.988937448453009,-2.3015187242265043,Michigan St.,-7.5
Louisville,Virginia,-7.1582,0.5973,-1.3067752622604305,-4.2324876311302155,Louisville,-3.5
Clemson,Boston College,-11.3846,0.7307,-21.544895850111157,-16.46474792505558,Clemson,-15.5
Tennessee,Texas A&M,4.3778,0.2753,-13.360713420728464,-4.491456710364233,Tennessee,-8.5
Duquesne,Dayton,-1.5375,0.4379,8.75876355786677,3.610631778933385,Duquesne,4.5
Minnesota,Wisconsin,0.47250000000000014,0.3842,4.252915366941548,2.362707683470774,Minnesota,1.5
Notre Dame,Miami FL,-2.1993,0.4623,2.852765097866647,0.3267325489333235,Notre Dame,5.5
Western Michigan,Massachusetts,-2.7138,0.4783,8.701541208558819,2.9938706042794094,Western Michigan,2.5
Toledo,Ohio,-9.9465,0.6884,-1.8431610011035933,-5.894830500551797,Toledo,-2.5
Akron,Ball St.,-12.3841,0.7454,-37.40728961739216,-24.895694808696078,Akron,-20.5
Belmont,Valparaiso,-8.6945,0.6458,-16.616951878101617,-12.655725939050807,Belmont,-10.5
Seton Hall,Connecticut,-0.5990000000000002,0.4116,7.337829467752244,3.369414733876122,Seton Hall,5.5
Houston,West Virginia,-8.079799999999999,0.636,-10.34353562283201,-9.211667811416003,Houston,-14.5
Eastern Illinois,Western Illinois,-8.9601,0.667,-9.902999231613707,-9.431549615806855,Eastern Illinois,-7.5
Kansas,Iowa St.,1.2678000000000003,0.3665,-0.9671628289361331,0.15031858553193356,Kansas,3.5
Nebraska,Oregon,-9.9211,0.6798,-14.135176963344056,-12.028138481672027,Nebraska,-10.5
Mississippi St.,Alabama,5.026300000000001,0.2698,8.018420897304187,6.522360448652094,Mississippi St.,4.5
Oklahoma,Florida,-9.61,0.6761,4.223929305299803,-2.693035347350098,Oklahoma,6.5
Fresno St.,Colorado St.,2.8316999999999997,0.3163,5.522186627231886,4.176943313615943,Fresno St.,4.5
Oklahoma St.,Baylor,-4.1208,0.5171,-1.1705002580508297,-2.645650129025415,Oklahoma St.,1.5
New Mexico,Grand Canyon,-9.2791,0.6594,-4.661201666681169,-6.970150833340584,New Mexico,-7.5
Creighton,Georgetown,-6.9171,0.5999,-11.22575818482134,-9.07142909241067,Creighton,-8.5
Syracuse,Florida St.,2.6803999999999997,0.3273,-15.848549402328606,-6.584074701164303,Syracuse,-8.5
USC,Maryland,-4.4687,0.5311,-15.761904113898266,-10.115302056949133,USC,-8.5
