home_team,away_team,mean_spread_away_minus_home,median_spread,std_spread,mean_total,home_win_prob,error
St. John's,Marquette,-18.77168124046796,-18.452823589172205,14.829611907326916,152.7189995467486,0.098,
Eastern Michigan,Northern Illinois,-18.786440828680334,-18.91943048165724,14.442639754283439,144.55015784125177,0.098,
Buffalo,Kent St.,-2.4172725255206164,-2.0601321670160715,14.704790001964117,148.58333927220204,0.447,
Michigan St.,Indiana,-5.988937448453009,-6.330505862934448,14.256455591818108,133.1952631407557,0.336,
Louisville,Virginia,-1.3067752622604305,-1.429145905356151,14.350618383067902,136.1877277887133,0.457,
Clemson,Boston College,-21.544895850111153,-21.040352466955543,13.825671394144008,139.40459353053424,0.057,
Tennessee,Texas A&M,-13.360713420728464,-13.702900236034793,15.288576990382811,147.23201059517515,0.195,
Northern Iowa,UIC,,,,,,'UIC'
Loyola Chicago,George Mason,,,,,,index 0 is out of bounds for axis 0 with size 0
Duquesne,Dayton,8.75876355786677,8.51257366872958,13.14943757396406,136.82726950322814,0.745,
Minnesota,Wisconsin,4.252915366941548,4.392395631521868,13.096222336548145,135.82287863271696,0.636,
Notre Dame,Miami FL,2.852765097866647,3.137946555610263,13.572213801644004,135.96915062125484,0.591,
Western Michigan,Massachusetts,8.701541208558819,8.490283249335175,13.888680598623857,137.52025445424792,0.735,
Toledo,Ohio,-1.8431610011035933,-2.421044890241184,14.741928036480086,151.8996109703324,0.453,
Miami (OH),Central Michigan,,,,,,'Miami (OH)'
Akron,Ball St.,-37.40728961739216,-36.59355029985099,16.43895413337798,167.02673350666748,0.007,
Belmont,Valparaiso,-16.616951878101617,-16.427476483723662,14.280281631034896,144.88399073709215,0.121,
Seton Hall,Connecticut,7.337829467752244,8.063677504277308,13.436288903694138,122.98825531240556,0.698,
Evansville,Bradley,12.568794165332932,12.371167998122843,12.700317449336072,128.29945516153413,0.841,
Houston,West Virginia,-10.34353562283201,-9.930513058737539,13.409545282247665,128.01237092725563,0.217,
Eastern Illinois,Western Illinois,-9.902999231613707,-10.234758187286442,13.242558641766887,132.40353484278114,0.234,
Kansas,Iowa St.,-0.9671628289361333,-1.1469689782897774,14.035717397375235,137.73637171678425,0.459,
Nebraska,Oregon,-14.135176963344056,-13.925330001500896,14.254517441899571,141.63586027299527,0.17,
Mississippi St.,Alabama,8.018420897304187,8.263713330507922,14.618040816265353,142.36977492496803,0.707,
Oklahoma,Florida,4.223929305299803,4.253003050951708,13.221505238532329,134.17739817243609,0.635,
Fresno St.,Colorado St.,5.522186627231886,5.8502418379591745,13.258362448945809,131.67738779599466,0.649,
Oklahoma St.,Baylor,-1.1705002580508295,-1.4507884191103457,15.022922191387622,150.47677742449653,0.461,
New Mexico,Grand Canyon,-4.661201666681169,-4.743694150144222,13.795826191106833,136.58699113499222,0.363,
Creighton,Georgetown,-11.22575818482134,-10.808309173440417,14.908119681005653,143.35323125683755,0.225,
Syracuse,Florida St.,-15.848549402328606,-15.776101434365259,15.164650243689223,149.00413366052754,0.149,
San José St.,Air Force,,,,,,'San José St.'
USC,Maryland,-15.761904113898266,-15.540217416114299,14.174368695228129,147.35653053162324,0.133,
San Francisco,Saint Mary's,,,,,,index 0 is out of bounds for axis 0 with size 0
UNLV,Boise St.,,,,,,index 0 is out of bounds for axis 0 with size 0
